viral_protein	human_protein
P0DTC4	Q8IWA5
P0DTC4	Q86VM9
P0DTC4	Q6UX04
P0DTC4	P25440
P0DTC4	O60885
P0DTC4	O00203
P0DTC9	Q9Y3U8
P0DTC9	Q9NW13
P0DTC9	Q9NR30
P0DTC9	Q9UN86
P0DTC9	Q9HCE1
P0DTC9	Q92900
P0DTC9	Q8TAD8
P0DTC9	Q8NCA5
P0DTC9	Q6PKG0
P0DTC9	Q13310
P0DTC9	Q13283
P0DTC9	P67870
P0DTC9	P19784
P0DTC9	P11940
P0DTC9	O43818
P0DTC2	Q9C0B5
P0DTC2	Q7Z5G4
P0DTC5	Q9Y6E2
P0DTC5	Q9Y312
P0DTC5	Q9ULX6
P0DTC5	Q9UDR5
P0DTC5	Q9UBU6
P0DTC5	Q9NQC3
P0DTC5	Q9BW92
P0DTC5	Q9BSJ2
P0DTC5	Q9BQT8
P0DTC5	Q96HW7
P0DTC5	Q96HR9
P0DTC5	Q96ER3
P0DTC5	Q96D53
P0DTC5	Q96CW5
P0DTC5	Q8NEW0
P0DTC5	Q7L8L6
P0DTC5	Q6PML9
P0DTC5	Q5JRX3
P0DTC5	Q4KMQ2
P0DTC5	Q10713
P0DTC5	Q00765
P0DTC5	P48556
P0DTC5	P38606
P0DTC5	P38435
P0DTC5	P27105
P0DTC5	P13804
P0DTC5	P11310
P0DTC5	P05026
P0DTC5	O95070
P0DTC5	O75439
P0DTD1-PRO_0000449619	Q14181
P0DTD1-PRO_0000449619	P49643
P0DTD1-PRO_0000449619	P49642
P0DTD1-PRO_0000449619	P09884
P0DTD1-PRO_0000449619	Q99959
P0DTD1-PRO_0000449619	Q8NBJ5
P0DTD1-PRO_0000449628	Q9HAV7
P0DTD1-PRO_0000449628	Q96CW1
P0DTD1-PRO_0000449628	Q969X5
P0DTD1-PRO_0000449628	P55789
P0DTD1-PRO_0000449628	O94973
P0DTD1-PRO_0000449629	Q9HAU0
P0DTD1-PRO_0000449629	Q9H2H8
P0DTD1-PRO_0000449629	Q99081
P0DTD1-PRO_0000449629	Q96IZ5
P0DTD1-PRO_0000449629	Q92615
P0DTD1-PRO_0000449629	Q8IWR0
P0DTD1-PRO_0000449629	Q70EL1
P0DTD1-PRO_0000449629	Q6UUV7
P0DTD1-PRO_0000449629	Q5VUA4
P0DTD1-PRO_0000449629	Q5T6F2
P0DTD1-PRO_0000449629	Q5JSZ5
P0DTD1-PRO_0000449629	Q5EBL8
P0DTD1-PRO_0000449629	Q2T9J0
P0DTD1-PRO_0000449629	Q14157
P0DTD1-PRO_0000449629	Q13546
P0DTD1-PRO_0000449629	O95391
P0DTD1-PRO_0000449629	O75592
P0DTD1-PRO_0000449629	O43823
P0DTD1-PRO_0000449629	O14874
P0DTD1-PRO_0000449629	A3KN83
P0DTD1-PRO_0000449630	P17612
P0DTD1-PRO_0000449630	O14578
P0DTD1-PRO_0000449630	Q9Y2I6
P0DTD1-PRO_0000449630	Q9UJC3
P0DTD1-PRO_0000449630	Q9UHD2
P0DTD1-PRO_0000449630	Q9BV73
P0DTD1-PRO_0000449630	Q9BV19
P0DTD1-PRO_0000449630	Q9BQS8
P0DTD1-PRO_0000449630	Q9BQQ3
P0DTD1-PRO_0000449630	Q99996
P0DTD1-PRO_0000449630	Q96SN8
P0DTD1-PRO_0000449630	Q96N16
P0DTD1-PRO_0000449630	Q96CN9
P0DTD1-PRO_0000449630	Q92995
P0DTD1-PRO_0000449630	Q8TD10
P0DTD1-PRO_0000449630	Q8N8E3
P0DTD1-PRO_0000449630	Q8N4C6
P0DTD1-PRO_0000449630	Q8N3C7
P0DTD1-PRO_0000449630	Q8IWJ2
P0DTD1-PRO_0000449630	Q8IUD2
P0DTD1-PRO_0000449630	Q7Z7A1
P0DTD1-PRO_0000449630	Q76N32
P0DTD1-PRO_0000449630	Q66GS9
P0DTD1-PRO_0000449630	Q5VU43
P0DTD1-PRO_0000449630	Q5VT06
P0DTD1-PRO_0000449630	Q4V328
P0DTD1-PRO_0000449630	Q14789
P0DTD1-PRO_0000449630	Q08379
P0DTD1-PRO_0000449630	Q08378
P0DTD1-PRO_0000449630	Q08117
P0DTD1-PRO_0000449630	Q04726
P0DTD1-PRO_0000449630	Q04724
P0DTD1-PRO_0000449630	P49454
P0DTD1-PRO_0000449630	P35241
P0DTD1-PRO_0000449630	P31323
P0DTD1-PRO_0000449630	P13861
P0DTD1-PRO_0000449630	O95684
P0DTD1-PRO_0000449630	O95613
P0DTD1-PRO_0000449630	O75506
P0DTD1-PRO_0000449630	A7MCY6
P0DTD1-PRO_0000449631	Q9NXA8
P0DTD1-PRO_0000449631	P12268
P0DTD1-PRO_0000449631	P06280
P0DTD1-PRO_0000449623	P07203
P0DTD1-PRO_0000449623	Q9NXH9
P0DTD1-PRO_0000449624	Q9H7F0
P0DTD1-PRO_0000449624	Q99720
P0DTD1-PRO_0000449624	Q15904
P0DTD1-PRO_0000449624	O75964
P0DTD1-PRO_0000449625	Q8WVC6
P0DTD1-PRO_0000449625	Q9NP72
P0DTD1-PRO_0000449625	Q9H7Z7
P0DTD1-PRO_0000449625	Q9BQE4
P0DTD1-PRO_0000449625	Q96DA6
P0DTD1-PRO_0000449625	Q96A26
P0DTD1-PRO_0000449625	Q8WUY8
P0DTD1-PRO_0000449625	Q8WTV0
P0DTD1-PRO_0000449625	Q8NBX0
P0DTD1-PRO_0000449625	Q8N183
P0DTD1-PRO_0000449625	Q7LGA3
P0DTD1-PRO_0000449625	Q6ZRP7
P0DTD1-PRO_0000449625	Q5VT66
P0DTD1-PRO_0000449625	Q5JTV8
P0DTD1-PRO_0000449625	Q13724
P0DTD1-PRO_0000449625	Q12907
P0DTD1-PRO_0000449625	P63218
P0DTD1-PRO_0000449625	P62873
P0DTD1-PRO_0000449625	P62820
P0DTD1-PRO_0000449625	P61586
P0DTD1-PRO_0000449625	P61106
P0DTD1-PRO_0000449625	P61026
P0DTD1-PRO_0000449625	P61019
P0DTD1-PRO_0000449625	P61006
P0DTD1-PRO_0000449625	P51149
P0DTD1-PRO_0000449625	P51148
P0DTD1-PRO_0000449625	P21964
P0DTD1-PRO_0000449625	P11233
P0DTD1-PRO_0000449625	P00387
P0DTD1-PRO_0000449625	O95573
P0DTD1-PRO_0000449625	O43169
P0DTD1-PRO_0000449625	O00116
P0DTD1-PRO_0000449632	Q9H4P4
P0DTD1-PRO_0000449632	P62330
P0DTD1-PRO_0000449632	P61970
P0DTD1-PRO_0000449620	Q6Y7W6
P0DTD1-PRO_0000449620	Q5T1M5
P0DTD1-PRO_0000449620	Q2M389
P0DTD1-PRO_0000449620	P52306
P0DTD1-PRO_0000449620	P16435
P0DTD1-PRO_0000449620	O60573
P0DTD1-PRO_0000449620	O14975
P0DTD1-PRO_0000449622	Q9Y5J7
P0DTD1-PRO_0000449622	Q9Y5J6
P0DTD1-PRO_0000449622	Q9NVH1
P0DTD1-PRO_0000449622	Q9BSF4
P0DTD1-PRO_0000449622	Q8TEM1
P0DTD1-PRO_0000449622	Q2TAA5
P0DTD1-PRO_0000449622	P62072
P0DTD1-PRO_0000449622	P14735
P0DTC6	Q9NZJ7
P0DTC6	P78406
P0DTC6	P52948
P0DTC3	Q9Y673
P0DTC3	Q9UH99
P0DTC3	Q9H270
P0DTC3	Q96S66
P0DTC3	Q96JC1
P0DTC3	Q8N6S5
P0DTC3	Q8IWR1
P0DTC3	P09601
A0A663DJA2	Q9C0D3
A0A663DJA2	Q15370
A0A663DJA2	Q15369
A0A663DJA2	P62877
A0A663DJA2	Q9Y5J9
A0A663DJA2	Q9BU02
A0A663DJA2	Q3KQU3
A0A663DJA2	Q13617
A0A663DJA2	P50897
P0DTD1-PRO_0000449626	Q9HD40
P0DTD1-PRO_0000449626	Q9BSC4
P0DTD1-PRO_0000449626	Q92552
P0DTD1-PRO_0000449626	Q13868
P0DTD1-PRO_0000449626	P82675
P0DTD1-PRO_0000449626	Q9Y399
P0DTD1-PRO_0000449626	Q9ULT8
P0DTD1-PRO_0000449626	Q9NY61
P0DTD1-PRO_0000449626	Q9NQT5
P0DTD1-PRO_0000449626	Q9NQT4
P0DTD1-PRO_0000449626	Q9H6F5
P0DTD1-PRO_0000449626	Q96I59
P0DTD1-PRO_0000449626	Q96B26
P0DTD1-PRO_0000449626	Q8NEJ9
P0DTD1-PRO_0000449626	Q7L2J0
P0DTD1-PRO_0000449626	Q4G0J3
P0DTD1-PRO_0000449626	Q13206
P0DTD1-PRO_0000449626	P82663
P0DTD1-PRO_0000449626	P61011
P0DTD1-PRO_0000449626	P09132
P0DTD1-PRO_0000449626	O96028
P0DTD1-PRO_0000449626	O95260
P0DTD1-PRO_0000449626	O76094
P0DTD1-PRO_0000449626	O00566
P0DTD1-PRO_0000449627	P35556
P0DTD1-PRO_0000449627	Q9UBX5
P0DTD1-PRO_0000449627	Q9NZL9
P0DTD1-PRO_0000449627	Q9BVL2
P0DTD1-PRO_0000449627	Q99567
P0DTD1-PRO_0000449627	Q96F45
P0DTD1-PRO_0000449627	Q8TD19
